Unternehmen;Branche;2020;2019;2018;2017;2016;2015;2014;2013;2012;Im Mdax seit
GEA Group AG;Maschinenbau;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/660200.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/660200.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/660200.pdf;https://www.gea.com/de/binaries/GEA-Gesch%C3%A4ftsbericht-2017-de_tcm24-42938.pdf;https://www.gea.com/de/binaries/gea-annual-report-2016-de_tcm24-35874.pdf;https://www.gea.com/de/binaries/2016.03.10.%20GEA%20Gesch%C3%A4ftsbericht%202015_tcm24-30988.pdf;https://www.gea.com/de/binaries/2015-03-09-AR-2014-GEA-Group-2_tcm24-25588.pdf;https://www.gea.com/de/binaries/2014.03.07.%20GEA%20Gesch%C3%A4ftsbericht%202013_tcm24-30807.pdf;https://www.gea.com/de/binaries/GEA-group-ag-geschaeftsbericht-2012_tcm24-25583.pdf;18. Nov 96
Gerresheimer AG;Arzneiverpackungen;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A0LD6E.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A0LD6E.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A0LD6E.pdf;https://www.gerresheimer.com/fileadmin/user_upload/user_upload/Company/Investor_Relations/reports/2017/DE/Gerresheimer_GB17_de_geschuetzt.pdf;https://www.gerresheimer.com/fileadmin/user_upload/user_upload/Company/Investor_Relations/reports/2016/DE/D_GER_GB16_GESAMT_ONLINE_klein_geschuetzt.pdf;https://www.gerresheimer.com/fileadmin/user_upload/user_upload/Company/Investor_Relations/reports/2015/DE/Gerresheimer_Geschaeftsbericht_2015.pdf;https://www.gerresheimer.com/fileadmin/user_upload/user_upload/Company/Investor_Relations/reports/2014/DE/Gerresheimer_Geschaeftsbericht_2014.pdf;https://www.gerresheimer.com/fileadmin/user_upload/user_upload/Company/Investor_Relations/reports/2013/DE/Geschaeftsbericht_2013_01.pdf;https://www.gerresheimer.com/fileadmin/user_upload/user_upload/Company/Investor_Relations/reports/2012/DE/Geschaeftsbericht_2012_02.pdf;22. Dez 08
Grand City Properties S.A.;Immobilien;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A1JXCV.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A1JXCV.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A1JXCV.pdf;https://www.grandcityproperties.com/fileadmin/user_upload/03_investor_relations/Downloads/2017/GCP_Q4_2017.pdf;https://www.grandcityproperties.com/fileadmin/user_upload/03_investor_relations/Downloads/2016/GCP_FY_2016.pdf;https://www.grandcityproperties.com/fileadmin/user_upload/03_investor_relations/Downloads/2015/GCP_FY_2015.pdf;https://www.grandcityproperties.com/fileadmin/user_upload/03_investor_relations/Downloads/2014/GCP_FY_2014.pdf;;;18. Sep 17
Hannover R�ckversicherung AG;Versicherungen;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/840221.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/840221.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/840221.pdf;https://www.hannover-rueck.de/1230442/geschaftsbericht-2017.pdf;https://www.hannover-rueck.de/1078786/geschaftsbericht-2016.pdf;https://www.hannover-rueck.de/926986/geschaftsbericht-2015.pdf;https://www.hannover-rueck.de/555437/geschaftsbericht-2014.pdf;https://www.hannover-rueck.de/27809/geschaftsbericht-2013.pdf;https://www.hannover-rueck.de/28309/geschaftsbericht-2012.pdf;21. Sep 09
HELLA GmbH & Co. KGaA;Automobilzulieferer;;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A13SX2.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A13SX2.pdf;https://www.hella.com/hella-com/assets/media_global/2018.08.10_HELLA_Annual-Report_2018_EN_secured.pdf;https://www.hella.com/hella-com/assets/media_global/2017.08.10_HELLA_Annual_Report_full_secured.pdf;https://www.hella.com/hella-com/assets/media_global/2016.08.11_HELLA_Annual_Report_secured.pdf;https://www.hella.com/hella-com/assets/media_global/2015_HELLA_Annual_Report_secured.pdf;https://www.hella.com/hella-com/assets/media_global/HLA_GB14_Englisch_Final_geschuetzt.pdf;https://www.hella.com/hella-com/assets/media/Annual_Report_12-13.pdf;21. Sep 15
HelloFresh SE;Lebensmitteleinzelhandel;https://ir.hellofreshgroup.com/download/companies/hellofresh/Annual%20Reports/DE000A161408-JA-2020-PN-EQ-D-00.pdf;https://ir.hellofreshgroup.com/download/companies/hellofresh/Annual%20Reports/DE000A161408-JA-2019-EQ-D-01.pdf;https://ir.hellofreshgroup.com/download/companies/hellofresh/Annual%20Reports/DE000A161408-JA-2018-EQ-D-00.pdf;;;;;;;23. Mrz 20
Hochtief AG;Bau;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/607000.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/607000.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/607000.pdf;https://www.hochtief.de/mmdbdownload?id=167624;https://www.hochtief.de/mmdbdownload?id=162389;https://www.hochtief.de/mmdbdownload?id=153936;https://www.hochtief.de/mmdbdownload?id=145861;https://www.hochtief.de/mmdbdownload?id=134358;https://www.hochtief.de/mmdbdownload?id=117344;11. Apr 94
Hugo Boss AG;Luxus;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A1PHFF.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A1PHFF.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A1PHFF.pdf;https://group.hugoboss.com/fileadmin/media/pdf/investors/financial-reports/2017/Jahresabschluss_AG_2017.pdf;https://group.hugoboss.com/fileadmin/media/pdf/investors/financial-reports/2016/Geschaeftsbericht_2016.pdf;https://group.hugoboss.com/fileadmin/media/pdf/investors/financial-reports/2015/Geschaeftsbericht_2015.pdf;https://group.hugoboss.com/fileadmin/media/pdf/investors/financial-reports/2014/Geschaeftsbericht_2014.pdf;https://group.hugoboss.com/fileadmin/media/hbnews/user_upload/Investor_Relations/Finanzberichte/2003-2013/HB_GB13_DE.pdf;https://group.hugoboss.com/fileadmin/media/hbnews/user_upload/Investor_Relations/Finanzberichte/2003-2013/HB_GB12_DE.pdf;22. Mrz 99
Jungheinrich AG;Intralogistik, Maschinenbau;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/935518/4d0837ec004c7c40cc6ba98a5ea8f679/geschaeftsbericht-2020-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/795108/d61fb7f71acc91c12ab3135fd9ab4a6e/geschaeftsbericht-2019-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/601786/d6261b3ce69e752de4ba0bcf051cc85f/geschaeftsbericht-2018-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/156306/aa049699c707986b70e2d2a023f7e2a0/geschaeftsbericht-2017-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/3902/2b98e300a5a79ddd9649c6a172b04da5/geschaeftsbericht-2016-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/3900/cccdfad8bdbd088a4888891cdc54f46b/geschaeftsbericht-2015-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/3898/e8d9a851fc2750050a82a4a3301ef77e/geschaeftsbericht-2014-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/3896/3a17eb99c4320f9af262bcb736768e15/geschaeftsbericht-2013-de-data.pdf;https://media-live2.prod.scw.jungheinrichcloud.com/resource/blob/3894/3591d1ed18fda6c4f2fe233fbf3f2bb8/geschaeftsbericht-2012-data.pdf;nicht im MDAX
K+S AG;D�ngemittel, Salze;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/KSAG88.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/KSAG88.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/KSAG88.pdf;https://www.kpluss.com/de-de/.pdf/investor-relations/2017/gb2017.pdf;https://www.kpluss.com/de-de/.pdf/investor-relations/2016/gb2016.pdf;https://www.kpluss.com/de-de/.pdf/investor-relations/2015/gb2015.pdf;https://www.kpluss.com/de-de/.pdf/investor-relations/2014/fb2014.pdf;https://www.kpluss.com/de-de/.pdf/investor-relations/2013/fb2013.pdf;https://www.kpluss.com/de-de/.pdf/investor-relations/2012/fb2012.pdf;21. Mrz 16
Kion Group AG;Nutzfahrzeuge;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/KGX888.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/KGX888.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/KGX888.pdf;https://www.kiongroup.com/Main/Investor-Relations/Reports-Presentations/2017-Reports-Presentations/KION-Group-Annual-Report-2017-(NEW).pdf;https://www.kiongroup.com/Main/Investor-Relations/Reports-Presentations/2016-Reports-Presentations/KION-Group-Annual-Report-2016.pdf;https://www.kiongroup.com/Main/Investor-Relations/Reports-Presentations/2015-Reports-Presentations/2015-Reports/KION-Group-Annual-Report-2015.pdf;https://www.kiongroup.com/Main/Investor-Relations/Reports-Presentations/2014-Reports-Presentations/2014-Reports/KION-Group-Annual-Report-2014.pdf;https://www.kiongroup.com/Main/Investor-Relations/Reports-Presentations/2013-Reports-Presentations/2013-Reports/KION-Group-Annual-Report-2013.pdf;https://www.kiongroup.com/Main/Investor-Relations/Reports-Presentations/2012-Reports-Presentations/2012-Reports/KION-Group-Annual-Report-2012.pdf;22. Sep 14
Knorr-Bremse AG;Transportwesen und Bahnverkehr;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/KBX100.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/KBX100.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/KBX100.pdf;https://ir.knorr-bremse.com/download/companies/knorrbremse/Annual%20Reports/Knorr-Bremse_Geschaeftsbericht_2017.pdf;https://ir.knorr-bremse.com/download/companies/knorrbremse/Annual%20Reports/Knorr-Bremse_Geschaeftsbericht_2016.pdf;https://ir.knorr-bremse.com/download/companies/knorrbremse/Annual%20Reports/KB_GB_2015_D_klein.pdf;https://ir.knorr-bremse.com/download/companies/knorrbremse/Annual%20Reports/Geschaeftsbericht_2014.pdf;https://ir.knorr-bremse.com/download/companies/knorrbremse/Annual%20Reports/Knorr_Bremse_AG_Geschaeftsbericht_2013_medium.pdf;;18. Mrz 19
Krones AG;Maschinenbau;https://www.krones.com/media/downloads/GB_2020_AG_d.pdf;https://www.krones.com/media/downloads/GB_2019_AG_d.pdf;https://www.krones.com/media/downloads/GB_2018_AG_d.pdf;https://www.krones.com/media/downloads/GB_2017_AG_d.pdf;https://www.krones.com/media/downloads/GB_2016_AG_d.pdf;https://www.krones.com/media/downloads/GB_2015_AG_d.pdf;https://www.krones.com/media/downloads/GB_2014_AG_d.pdf;https://www.krones.com/media/downloads/GB_2013_AG_d.pdf;https://www.krones.com/media/downloads/GB_2012_AG_d.pdf;nicht im MDAX
Lanxess AG;Chemie;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/547040.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/547040.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/547040.pdf;https://lanxess.com/-/media/Project/Lanxess/Corporate-Internet/Investors/Publications/Reports/2017/DE/LXS_AG_Jahresabschluss_2017_D_web.pdf;https://lanxess.com/-/media/Project/Lanxess/Corporate-Internet/Investors/Publications/Reports/2016/DE/LXS_GB_2016_Jahresabschluss_DE.pdf;https://lanxess.com/-/media/Project/Lanxess/Corporate-Internet/Investors/Publications/Reports/2015/DE/lxs_ag2015_d.pdf;https://lanxess.com/-/media/Project/Lanxess/Corporate-Internet/Investors/Publications/Reports/2014/DE/lxs_ag2014_d.pdf;https://lanxess.com/-/media/Project/Lanxess/Corporate-Internet/Investors/Publications/Reports/2013/DE/140430_lxs_ag13_d_schutz.pdf;https://lanxess.com/-/media/Project/Lanxess/Corporate-Internet/Investors/Publications/Reports/2012/DE/lxs_ag2012_d_schutz_01.pdf;21. Sep 15
LEG Immobilien AG;Immobilien;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/LEG111.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/LEG111.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/LEG111.pdf;http://irpages2.equitystory.com/download/companies/legimmobilien/Annual%20Reports/DE000LEG1110-JA-2017-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/legimmobilien/Annual%20Reports/DE000LEG1110-JA-2016-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/legimmobilien/Annual%20Reports/DE000LEG1110-JA-2015-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/legimmobilien/Annual%20Reports/DE000LEG1110-JA-2014-EQ-D-00.pdf;;;24. Jun 13
LEONI AG;Automobilzulieferer;https://publications.leoni.com/fileadmin/corporate/publications/reports/2021/leoni-geschaeftsbericht-2020.pdf?1615928042;https://publications.leoni.com/fileadmin/corporate/publications/reports/2019/geschaeftsbericht_2019.pdf?1585552107;https://publications.leoni.com/fileadmin/corporate/publications/reports/2018/geschaeftsbericht_2018.pdf?1552974804;https://publications.leoni.com/fileadmin/corporate/publications/reports/2017/geschaeftbericht_2017.pdf?1521539773;https://publications.leoni.com/fileadmin/corporate/publications/reports/2016/geschaeftsbericht_2016.pdf?1490257263;https://publications.leoni.com/fileadmin/corporate/publications/reports/2015/geschaeftsbericht_2015.pdf?1460101662;https://publications.leoni.com/fileadmin/corporate/publications/reports/2014/geschaeftsbericht_2014.pdf?1426582672;https://publications.leoni.com/fileadmin/corporate/publications/reports/2013/geschaeftsbericht_2013.pdf?1397729633;https://publications.leoni.com/fileadmin/corporate/publications/reports/2012/geschaeftsbericht_2012.pdf?1397730294;nicht im MDAX
Morphosys AG;Biotechnologie;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/663200.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/663200.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/663200.pdf;https://www.morphosys.de/sites/default/files/reports/2017/mor_gb_2017_de_.pdf;https://www.morphosys.de/sites/default/files/reports/2016/mps_gb16_komplett.pdf;https://www.morphosys.de/sites/default/files/reports/2015/mps_gb15_komplett.pdf;https://www.morphosys.de/sites/default/files/reports/2014/geschaeftsbericht-komplett-2014.pdf;https://www.morphosys.de/sites/default/files/reports/2013/mor-geschaeftsbericht-2013.pdf;https://www.morphosys.de/sites/default/files/reports/2012/mps_gb12_d.pdf;24. Sep 18
MTU Aero Engines AG;Maschinenbau;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/Geschaeftsbericht_2020_de_locked.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/2019_Geschaeftsbericht.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/2018_MTUAeroEngines_GB2018_de.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/2018_02_27_GB2018_DE_LOCKED.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/FY_2016_Geschaeftsbericht_.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/FY_2015_annual_report_d.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/investor_relations__financial_reports_2014_fy_d.pdf;https://www.mtu.de/fileadmin/DE/5_Investor_Relations/Financial_Report/investor_relations_financial_geschaeftsbericht_2013_de.jpg.pdf;https://www.mtu.de/fileadmin/EN/5_Investor_Relations/7_Financial_Reports/Archiv/2012/investor_relations_reports_2012_geschaeftsbericht.pdf;nicht im MDAX
Nemetschek SE;Software (Bauindustrie);https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/645290.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/645290.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/645290.pdf;https://ir.nemetschek.com/download/companies/nemetschek/Annual%20Reports/DE0006452907-JA-2017-EQ-D-00.pdf;https://ir.nemetschek.com/download/companies/nemetschek/Annual%20Reports/DE0006452907-JA-2016-EQ-D-00.pdf;https://ir.nemetschek.com/download/companies/nemetschek/Annual%20Reports/DE0006452907-JA-2015-EQ-D-00.pdf;https://ir.nemetschek.com/download/companies/nemetschek/Annual%20Reports/DE0006452907-JA-2014-EQ-D-00.pdf;https://ir.nemetschek.com/download/companies/nemetschek/Annual%20Reports/DE0006452907-JA-2013-EQ-D-00.pdf;https://ir.nemetschek.com/download/companies/nemetschek/Annual%20Reports/NEM-GB12-DE_locked.pdf;24. Sep 18
Nordex SE;Anlagenbau;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/nordex_gb20_d_s.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/DE000A0D6554-JA-2019-EQ-D-01.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/DE000A0D6554-JA-2018-EQ-D-tlo.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/DE000A0D6554-JA-2017-EQ-D-00.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/DE000A0D6554-JA-2016-EQ-D-00.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/DE000A0D6554-JA-2015-EQ-D-00.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/DE000A0D6554-JA-2014-EQ-D-00.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/Nordex_GB2013_de.pdf;http://ir.nordex-online.com/download/companies/nordex/Annual%20Reports/Nordex_GB2012_de.pdf;22. Mrz 21
Norma Group SE;Industrie;https://www.normagroup.com/norma.nsf/res/NORMA-Group-Gesch%C3%A4ftsbericht-2020.pdf/$file/NORMA-Group-Gesch%C3%A4ftsbericht-2020.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2019-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2018-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2017-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2016-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2015-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2014-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2013-annual-report-de.pdf;https://powered-by.qbank-mediaportal.se/norma/TTW/NORMA-Group-2012-annual-report-de.pdf;nicht im MDAX
Osram Licht AG;Halbleiterherrsteller, Photonik;https://www.osram-group.de/~/media/Files/O/Osram/Investor%20Relations/Annual%20Report/2020/2020_de_osram_geschaeftsbericht.pdf;https://www.osram-group.de/~/media/Files/O/Osram/Investor%20Relations/Annual%20Report/2019/2019_de_osram_geschaeftsbericht.pdf;https://www.osram-group.de/~/media/Files/O/Osram/Investor%20Relations/Annual%20Report/2018/2018_de_osram_geschaeftsbericht.pdf;https://www.osram-group.de/~/media/Files/O/Osram/Investor%20Relations/Annual%20Report/2017/2017-de-osram-annual-report.pdf;https://www.osram-group.de/~/media/Files/O/Osram/documents/de/publications/annual-reports/2016/osram-annual-report-2016-de.pdf;https://www.osram-group.de/~/media/Files/O/Osram/documents/de/fiscal-year-2015-de/osram-geschaftsbericht-2015-screen.pdf;https://www.osram-group.de/~/media/Files/O/Osram/documents/de/publications/annual-reports/2014/osram-de-geschaeftsbericht-gesamt-2014.pdf;https://www.osram-group.de/~/media/Files/O/Osram/documents/de/publications/annual-reports/2013/131205-osram-d-geschaeftsbericht2013.pdf;;nicht im MDAX
Porsche Automobil Holding SE;Beteiligungsgesellschaft;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-20/PSE2020_Geschaeftsbericht_de.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-19/PSE_GB2019_Deutsch_web.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-18/PSE_GB2018_Deutsch_web.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-17/PSE_GB2017_Deutsch_web.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-16/PSE_GB2016_Deutsch_web_.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-15/Geschaeftsbericht_Geschaeftsjahr_2015.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-15/download/Gescha__ftsbericht_Gescha__ftsjahr_2014.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-15/download/Gescha__ftsbericht_Gescha__ftsjahr_2013.pdf;https://www.porsche-se.com/fileadmin/downloads/investorrelations/mandatorypublications/annualreport-15/download/Gescha__ftsbericht_Gescha__ftsjahr_2012.pdf;22. Mrz 21
ProSiebenSat.1 Media SE;Medien;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/PSM777.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/PSM777.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/PSM777.pdf;https://www.prosiebensat1.de/uploads/2018/03/15/P7S1_GB17_DE_2018-03-15.pdf;https://www.prosiebensat1.de/uploads/2017/05/09/P7S1_GB16_DE_GB_2017-05-08.pdf;https://www.prosiebensat1.de/uploads/2016/04/28/gb15_d.pdf;https://www.prosiebensat1.de/uploads/2015/10/18/562405b6d4114_original.pdf;https://www.prosiebensat1.de/uploads/2015/11/03/gb13_de.pdf;https://www.prosiebensat1.de/uploads/2015/11/03/gb12_de.pdf;19. Mrz 18
Puma SE;Sportartikel;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/696960.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/696960.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/696960.pdf;https://udg-about-puma-prod-endpoint.azureedge.net/-/media/files/pdf/investor-relations/gb_2017_de.pdf?rev=-1&hash=990B097489363B6F3AB71EB6ED666143;https://udg-about-puma-prod-endpoint.azureedge.net/-/media/files/pdf/investor-relations/gb_2016_de.pdf?rev=-1&hash=F0DE1915E7B30268ED8BD2C7D5BBCAAC;https://udg-about-puma-prod-endpoint.azureedge.net/-/media/files/pdf/investor-relations/gb_2015_de.pdf?rev=-1&hash=A28FCB8CA79A421AF6919DD1A40257C7;https://udg-about-puma-prod-endpoint.azureedge.net/-/media/files/pdf/investor-relations/gb_2014_de.pdf?rev=-1&hash=01429E51BD80EA4D2323507FF359C6BE;https://udg-about-puma-prod-endpoint.azureedge.net/-/media/files/pdf/investor-relations/gb_2013_de.pdf?rev=-1&hash=68AC50DA08A3E2051691DD2F733B825C;https://udg-about-puma-prod-endpoint.azureedge.net/-/media/files/pdf/investor-relations/gb_2012_de.pdf?rev=-1&hash=1D306E0868AD15F9C8A293E94860FE0A;18. Jun 18
Qiagen N.V.;Biotechnologie;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A2DKCH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A2DKCH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A2DKCH.pdf;https://s27.q4cdn.com/986229841/files/doc_financials/2017/ar/2017-Form-20-F-March-5-2018.pdf;https://s27.q4cdn.com/986229841/files/doc_financials/2016/ar/2016-Form-20-F-March-3-2017.pdf;https://s27.q4cdn.com/986229841/files/doc_financials/2015/ar/2015-Form-20-F-February-26-2016.pdf;https://s27.q4cdn.com/986229841/files/doc_financials/2014/ar/2014-Form-20-F-March-3-2015.pdf;https://s27.q4cdn.com/986229841/files/doc_financials/2013/ar/2013-Form-20-F-March-3-2014.pdf;https://s27.q4cdn.com/986229841/files/doc_financials/2012/ar/2012-Form-20-F-March-1-2013.pdf;24. Sep 18
Rational AG;Industrie;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/701080.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/701080.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/701080.pdf;https://www.rational-online.com/media/investor-relations/annual-reports/rational-ag-geschaeftsbericht-2017.pdf;https://www.rational-online.com/media/investor-relations/annual-reports/rational-ag-geschaeftsbericht-2016.pdf;https://www.rational-online.com/media/investor-relations/annual-reports/gb-2015-de.pdf;https://www.rational-online.com/media/investor-relations/annual-reports/gb-2014-de.pdf;https://www.rational-online.com/media/investor-relations/annual-reports/gb-2013-de.pdf;https://www.rational-online.com/media/investor-relations/annual-reports/gb-2012-de.pdf;23. Sep 19
Rheinmetall AG;Wehrtechnik und Automobilzulieferung;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/703000.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/703000.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/703000.pdf;https://ir.rheinmetall.com/download/companies/rheinmetall/Annual%20Reports/DE0007030009-JA-2017-EQ-D-01.pdf;https://ir.rheinmetall.com/download/companies/rheinmetall/Annual%20Reports/DE0007030009-JA-2016-EQ-D-00.pdf;https://ir.rheinmetall.com/download/companies/rheinmetall/Annual%20Reports/DE0007030009-JA-2015-EQ-D-03.pdf;https://ir.rheinmetall.com/download/companies/rheinmetall/Annual%20Reports/DE0007030009-JA-2014-EQ-D-00.pdf;https://ir.rheinmetall.com/download/companies/rheinmetall/Annual%20Reports/DE0007030009-JA-2013-EQ-D-00.pdf;https://ir.rheinmetall.com/download/companies/rheinmetall/Annual%20Reports/DE0007030009-JA-2012-EQ-D-00.pdf;11. Apr 94
Rh�n-Klinikum AG;Klinikgruppe;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/GB_2020_dt.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/GB_2019_D.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/GB_2018_DE.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/RHOEN_GB_2017_D.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/RHK_GB_2016_Internet_dt.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/RHOEN-KLINIKUM_AG_GB_2015_DE.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/RHOEN-KLINIKUM_AG_GB_2014_DE.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Geschaeftsberichte/RHOEN-KLINIKUM_AG_Geschaeftsbericht_2013.pdf;https://www.rhoen-klinikum-ag.com/fileadmin/FILES/RKA/investoren/Hauptversammlungen/Hauptversammlung_2013/RHOEN-KLINIKUM_AG_GB_Deutsch_2012.pdf;nicht im MDAX
