Unternehmen;Branche;2020;2019;2018;2017;2016;2015;2014;2013;2012;Im Mdax seit
Brenntag AG;Gro�handel (Chemie);https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A1DAHH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A1DAHH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A1DAHH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2017/A1DAHH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2016/A1DAHH.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2015/A1DAHH.pdf;https://www.brenntag.com/corporate/media/documents/investor_relations/2015/hauptversammlung/brenntag_geschaeftsbericht_2014.pdf;https://www.brenntag.com/corporate/media/documents/investor_relations/2013_1/brenntag_geschaeftsbericht_2013-2.pdf;https://www.brenntag.com/corporate/media/documents/investor_relations/2013/brenntag_geschaeftsbericht_2012.pdf;21. Jun 10
Cancom SE;IT-Dienstleistungen;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/541910.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/541910.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/541910.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2017/541910.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2016/541910.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2015/541910.pdf;http://content.cancom.de/b/geschaeftsberichte/CANCOM_geschaeftsbericht2014_DE.pdf;https://www.cancom.de/wp-content/uploads/sites/7/2015/08/CANCOM-Geschaeftsbericht-2013_D.pdf;https://www.cancom.de/wp-content/uploads/sites/7/2015/08/130614_Geschaeftsbericht_2012_D_gesch.pdf;29. Aug 19
Carl Zeiss Meditec AG;Medizintechnik;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/531370.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/531370.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/531370.pdf;http://applications.zeiss.com/C1257A290053AE30/0/58DAD3EDA5F90F8CC12581DB004BA241/$FILE/afx_geschaeftsbericht_2016_17_langfassung.pdf;http://applications.zeiss.com/C1257A290053AE30/0/B180CBE44CE941A6C125806F003B50EA/$FILE/AFX_Geschaeftsbericht_2015_16_Langfassung.pdf;http://applications.zeiss.com/C1257A290053AE30/0/399AE18C2623F9D3C1257F14002C502A/$FILE/afx_geschaeftsbericht_2014_15-langfassung.pdf;http://applications.zeiss.com/C1257A290053AE30/0/32943CA81F9C2229C1257D850031EA84/$FILE/geschaeftsbericht_1314.pdf;http://applications.zeiss.com/C1257A290053AE30/0/9879FED8F28C60F4C1257C37004C3202/$FILE/AFX_Geschaeftsbericht_1213_verlinkt.pdf;;27. Dez 18
Commerzbank AG;Banken;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/CBK100.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/CBK100.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/CBK100.pdf;https://www.commerzbank.de/media/de/aktionaere/service/archive/konzern/2018_2/Geschaeftsbericht_2017_Konzern_EN.pdf;https://www.commerzbank.de/media/aktionaere/service/archive/konzern/2017/Geschaeftsbericht_2016_Konzern_DE.pdf;https://www.commerzbank.de/media/de/aktionaere/haupt/2016_5/geschaeftsbericht_2015.pdf;https://www.commerzbank.de/media/aktionaere/service/archive/konzern/2015_2/00_CAA_Geschaeftsbericht_2014_Konzern_DE.pdf;https://www.commerzbank.de/media/aktionaere/service/archive/konzern/2014_2/Geschaeftsbericht2013_Konzern_DE.pdf;https://www.commerzbank.de/media/aktionaere/service/archive/konzern/2013_3/Geschaeftsbericht_2012_Konzern_DE.pdf;24. Sep 18
CompuGroup Medical SE;Gesundheitswesen;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/A28890.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/A28890.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/A28890.pdf;https://www.cgm.com/_Resources/Persistent/0e98a6fe0fc88ac8801ac406a458d3915d78d7e1/CMPG_27730_AR2017_GER_WEB_.pdf;https://www.cgm.com/_Resources/Persistent/0024cf9c217a0b3fd98fdb70cd7dc3b626a0728c/CompuGroup_Medical_SE_Annual_Report_2016_German.pdf;https://www.cgm.com/_Resources/Persistent/389003f72fc0bce1637a052128ae08a15d1f52cd/2016-03-31_Annual_Report_2015_web_DE_1.pdf;https://www.cgm.com/_Resources/Persistent/79cb4e4b8646f0f0929a527b34655ecac1ff81a3/2015-03-31_Annual_Report_2014_web_DE.pdf;https://www.cgm.com/_Resources/Persistent/18bdf210c2e687702bca27dbcf30790885baa9f6/2014-03-27_Annual_Report_2013_Rev1_DE.pdf;https://www.cgm.com/_Resources/Persistent/c31556117cd1978d6a494b95ea1d633d9ccdcd8a/2013-03-28_Annual_Report_2012_Rev3_DE.pdf;23. Sep 19
Covestro;Chemie;https://bericht.covestro.com/geschaeftsbericht-2020/serviceseiten/downloads/files/covestro-ar20-entire.pdf;https://bericht.covestro.com/geschaeftsbericht-2019/serviceseiten/downloads/files/covestro_gb19_gesamt.pdf;https://bericht.covestro.com/geschaeftsbericht-2018/serviceseiten/downloads/files/covestro_gb18_gesamt.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2017/606214.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2016/606214.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2015/606214.pdf;;;;nicht im MDAX
CTS Eventim AG & Co. KGaA;Ticketvertrieb;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/547030.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/547030.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/547030.pdf;http://irpages2.equitystory.com/download/companies/cts-eventim/Annual%20Reports/DE0005470306-JA-2017-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/cts-eventim/Annual%20Reports/DE0005470306-JA-2016-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/cts-eventim/Annual%20Reports/DE0005470306-JA-2015-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/cts-eventim/Annual%20Reports/DE0005470306-JA-2014-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/cts-eventim/Annual%20Reports/DE0005470306-JA-2013-EQ-D-00.pdf;http://irpages2.equitystory.com/download/companies/cts-eventim/Annual%20Reports/DE0005470306-JA-2012-EQ-D-00.pdf;16. Sep 19
Deutsche EuroShop AG;Immobilien;https://www.deutsche-euroshop.de/media/public/db/media/1/2021/04/100064/des_finanzbericht_2020_d_safe.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2020/04/100054/des_gb19_d_save.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2019/04/100039/des_gb18_d.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2018/04/274/des-gb-17-d.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2017/01/264/des_gb16_d.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2016/04/255/des_gb15_d.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2015/04/242/des_gb_14_d.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2014/04/233/des_gb_2013_d_gesamt.pdf;https://www.deutsche-euroshop.de/media/public/db/media/1/2013/04/222/deutschgb2012.pdf;nicht im MDAX
Deutsche Lufthansa AG;Fluggesellschaft;https://boersengefluester.de/wp-content/uploads/assets/annuals/2020/823212.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2019/823212.pdf;https://boersengefluester.de/wp-content/uploads/assets/annuals/2018/823212.pdf;https://investor-relations.lufthansagroup.com/fileadmin/downloads/de/finanzberichte/geschaeftsberichte/LH-GB-2017-d.pdf;https://investor-relations.lufthansagroup.com/fileadmin/downloads/de/finanzberichte/geschaeftsberichte/LH-GB-2016-d.pdf;https://investor-relations.lufthansagroup.com/fileadmin/downloads/de/finanzberichte/geschaeftsberichte/LH-GB-2015-d.pdf;https://investor-relations.lufthansagroup.com/fileadmin/downloads/de/finanzberichte/geschaeftsberichte/LH-GB-2014-d.pdf;https://investor-relations.lufthansagroup.com/fileadmin/downloads/de/finanzberichte/geschaeftsberichte/LH-GB-2013-d.pdf;https://investor-relations.lufthansagroup.com/fileadmin/downloads/de/finanzberichte/geschaeftsberichte/LH-GB-2012-d.pdf;22. Jun 20
Deutsche Pfandbriefbank;Banken;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/2020Geschaeftsbericht_geschuetzt.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/2003_GB2019_de.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/1903_pbb_GB18_Online_FINAL_de.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/1803_GB2017_Konzern_Deutsche_Pfandbriefbank.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/1603_pbb_Group_AR_2016_v1805_online.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/160412_pbb_Konzern_GB2015_screen_de.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/1503_pbb_GB2014_de.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/1405_pbb_GB2013_de.pdf;https://www.pfandbriefbank.com/fileadmin/user_upload/downloads/investor_relations/reports/pbb_Konzernabschluss_2012.pdf;nicht im MDAX
